ticker,volatility,avg_price,len,smape_standard,smape_tuned,winsorized_pct
ERY,Medium-High,3969.789528334301,4085,1.802153913955233,1.5366868669783988,0.31946144430844553
BSCT,Low,17.626247231911353,1364,0.0306251252384336,0.03292378647581953,0.5615835777126099
XLV,Low,53.18414683673983,6578,0.0838454363953073,0.0423690774570603,0.5269078747339617
AVDE,Low,52.89317957044088,1355,0.0598201470643803,0.04070623428030751,0.5461254612546126
PTA,Low,17.471377117545515,1080,0.0352259279871695,0.03531731377737016,0.5425925925925926
WEBL,High,31.85669621737498,1325,0.2265579626924328,0.2230002428964355,0.3237735849056604
QTWO,Medium,52.24584703601774,2745,1.8597186168467603,0.5655689826496858,0.39963570127504555
TPIC,High,19.868923401777263,2155,0.6530663197466565,0.7203788379058638,0.31554524361948955
STEM,High,11.033463438669768,1094,1.426328495529379,1.08440545260382,0.3290676416819013
ISTB,Low,42.5736042903968,3095,0.0135358365713297,0.013333134050971996,0.5550888529886915
DNLI,Medium-High,29.52612125992379,1806,0.2256441638674136,0.28319673164369796,0.3289036544850498
CHX,Medium-High,26.289720966967835,1711,0.2387966269904823,0.16650523789728877,0.30917592051431914
INGN,Medium,53.40321065735266,2768,1.5088866522664934,0.692729690148327,0.43171965317919075
TRIP,Medium,41.06491846890201,3317,0.1887051546153278,0.20770546686459598,0.3864938197166114
ADSK,Medium,56.22228772982421,9986,0.1127327288830706,0.09196546782350043,0.3849389144802724
MUB,Low,87.86830728751698,4388,0.0147872164660822,0.015952211105427765,0.577028258887876
LOVE,Medium-High,31.839589534940085,1669,0.2967332262886108,0.19814732572488586,0.3181545835829838
USHY,Low,30.82273124869353,1836,0.0562505485730576,0.055387858924962154,0.5675381263616558
APLS,Medium-High,39.26799563954198,1826,0.4307737345191504,0.18364858953979213,0.2913472070098576
IOO,Low,34.93870450430346,6082,0.0679682944959259,0.05030804192951522,0.5674120355146334
SCHV,Low,12.43001006696709,3816,0.118705398335515,0.10204842610692261,0.5773060796645703
FLDR,Low,44.55689621882109,1676,0.0072104269817545,0.0059168095521315795,0.6760143198090692
NDMO,Low,10.662140113375385,1123,0.0632824359831436,0.04547847386413628,0.560106856634016
XMTR,Medium-High,33.49439141311144,912,0.3022759304352774,0.1471709889621767,0.29605263157894735
MNDY,Medium-High,197.75679278940157,926,0.1145538376778144,0.09502399760632861,0.265658747300216
VMEO,Medium-High,10.311208707456007,939,0.3388832085790945,0.3501749286355419,0.2928647497337593
VLUE,Low,70.67933760243533,2977,0.0832263819611139,0.04561979479104557,0.5337588176016124
FLCB,Low,21.251538694606108,1360,0.0408256773051802,0.033739059417839425,0.5720588235294117
MEGEF,Medium-High,16.35897419789065,3487,0.1462061266873084,0.13974329612710312,0.2913679380556352
CLIP,Low,96.2556601099221,415,0.0013327703182808,0.0013234436010202068,0.9301204819277108
DOYU,Medium-High,23.0901545336238,1405,1.223095900371994,1.6833038875981197,0.2896797153024911
CORT,Medium-High,10.36343374740975,5245,0.1826414278677804,0.1809200188896175,0.2856053384175405
TECS,Medium-High,1308962.8304087082,4058,1.8079355313151704,1.7657590411123374,0.37604731394775753
VGLT,Low,60.00611986045958,3804,0.0696384866485697,0.06682306450336757,0.5115667718191378
PPH,Low,40.83713876415688,6299,0.0690020591173712,0.04328877888993715,0.5194475313541832
JMST,Low,47.38181965297055,1588,0.0033728753104624,0.0032583215620813713,0.6738035264483627
SGOL,Low,15.008463448770996,3884,0.1541758028547651,0.14898542039526727,0.4922760041194645
JHMM,Low,39.257053717920336,2360,0.2578696079357854,0.057397210697422624,0.5508474576271186
PZA,Low,19.102881812174385,4360,0.0213954077623859,0.020912609526817623,0.5853211009174312
RPTX,Medium-High,15.710328782042511,1171,0.6189266115169341,0.461166688804521,0.28010247651579845
PBF,Medium-High,25.52990372736885,3062,0.4301895797286802,0.37411647957561744,0.3393207054212933
DRN,Medium-High,12.434820922280622,3922,0.9238161359396976,0.44530418848809405,0.30800611932687405
ULCC,Medium-High,10.065118067563192,974,0.3804406883462178,0.2370234691368193,0.324435318275154
AZPN,Medium-High,53.18613497101017,7628,0.1578899010726594,0.1375206110577908,0.2937860513896172
